number,zip,latitude,longitude
130785,6510,41.3042,-72.9356
130794,6520,41.3102,-72.9289
130837,19958,38.7713,-75.1424
130873,19805-1511,39.7547,-75.5943
130891,19947,38.6973,-75.4075
130907,19901,39.1984,-75.5601
130916,19801,39.7403,-75.5522
130934,19901,39.1872,-75.5405
130943,19716,39.6798,-75.7536
130989,19808,39.7425,-75.694
131061,19711,39.681,-75.7567
131098,19901-3875,39.1633,-75.5274
131113,19720,39.6823,-75.587
131159,20016-8001,38.9378,-77.0901
131283,20064,38.9358,-76.999
131308,20006-4804,38.8958,-77.0398
131399,20008,38.9438,-77.0662
131405,20017-1585,38.9314,-76.9988
131450,20002-3695,38.9074,-76.9937
131469,20052,38.8987,-77.0479
131496,20057-0001,38.9088,-77.0735
131520,20059-0001,38.9207,-77.0195
131742,22042,38.8695,-77.148
131803,20005,38.9049,-77.0343
13180301,20012,NULL,NULL
131830,20007,38.91,-77.0651
131876,20017-1094,38.9274,-77.0043
131973,20016-5690,38.9396,-77.09
132268,32174,29.3494,-81.1331
132338,33316-3000,26.1012,-80.1235
132374,33063-3902,26.2436,-80.1853
132408,32440,30.9564,-85.519
132471,33161-6695,25.8789,-80.1961
13247101,328073673,NULL,NULL
132523,32405,30.2005,-85.6499
132602,32114-3099,29.2102,-81.0314
132657,33431-5598,26.3828,-80.1239
132666,34210,27.4626,-82.6022
132675,32091,29.9521,-82.1231
132693,32922,28.3848,-80.7581
132709,33301,26.0797,-80.2354
132806,32789,28.5554,-81.4484
132842,33172-2209,25.7952,-80.355
132851,34474,29.1661,-82.1757
132879,34744,28.3019,-81.3625
132903,32816,28.6011,-81.1988
132976,33948-3399,27.0056,-82.1472
133021,32446-2053,30.7906,-85.2319
133085,33759-4595,27.9636,-82.6973
133155,34104-4405,26.1412,-81.7634
133386,32114,29.2023,-81.0513
133465,33411,26.6917,-80.1997
133492,33711-4700,27.719,-82.686
133508,33919-0000,26.5547,-81.8874
133526,32209,30.3451,-81.6848
133553,32114-3900,29.1892,-81.0495
133650,32307,30.4286,-84.2857
133669,33431-0991,26.3725,-80.1023
133702,32202,30.3349,-81.6599
133711,32084,29.8934,-81.3153
133809,33617-5527,28.0349,-82.3834
133845,32256-6905,30.3275,-81.5738
133854,33025,26.1751,-80.203
133863,33607-4127,27.9591,-82.5151
133872,32803,28.5761,-81.3677
133881,32901-6975,28.0645,-80.6246
133942,32514,30.5349,-87.2206
133951,33199,25.7571,-80.3776
133960,33040,24.5827,-81.7445
133979,33054-6199,25.9179,-80.2707
133997,33174,25.7553,-80.3667
134024,32608-5419,29.5935,-82.3385
134079,33801-5698,28.0315,-81.9458
134097,32306-1037,30.4397,-84.2909
134112,32826,28.5737,-81.201
134121,32225,30.3262,-81.55
13412101,33134,NULL,NULL
134130,32611,29.6382,-82.3612
134149,33062,26.2341,-80.1036
134228,34982-6333,27.4124,-80.3247
134237,32792-7429,28.5965,-81.3013
134291,32526-8922,30.4881,-87.2951
134307,33142,25.8041,-80.2636
134343,32401,30.1861,-85.7272
134422,33004-3046,26.0528,-80.1399
134495,33606-3584,27.9345,-82.4569
134510,33455-1065,27.0665,-80.1324
134529,33023,26.0076,-80.2076
134574,33781,27.8397,-82.689
134608,34981-5596,27.4231,-80.3579
134680,33634,27.9922,-82.5485
134714,32119,29.1622,-80.9978
134811,33132-1418,25.79,-80.1884
134909,33634-7350,27.9824,-82.5476
134945,32211-3394,30.3503,-81.6071
135063,32211,30.328,-81.6101
135081,33309,26.1859,-80.164
13508101,32901,NULL,NULL
13508102,32309,NULL,NULL
13508103,32114,NULL,NULL
13508104,33805,NULL,NULL
13508105,33172,NULL,NULL
13508106,32807,NULL,NULL
13508107,34240,NULL,NULL
13508108,32216,NULL,NULL
13508109,33634,NULL,NULL
13508110,33027,NULL,NULL
13508111,34952,NULL,NULL
13508112,33411,NULL,NULL
13508113,33905,NULL,NULL
135124,33912,26.5409,-81.8425
135142,33012,25.8667,-80.313
135160,32025-2007,30.1743,-82.5697
135179,32726,28.8334,-81.6909
135188,34788-8751,28.8302,-81.7977
135267,33916-2204,26.6486,-81.833
135276,32304-2895,30.4485,-84.3391
135294,33127,25.7947,-80.2082
135337,33710,27.7813,-82.7112
135364,30038-9869,33.698,-84.1236
135391,34207,27.4361,-82.5917
135407,34203,27.4436,-82.5934
135416,33611,27.9025,-82.5184
13541601,33612,NULL,NULL
135522,33803,27.9958,-81.8935
135610,33324,26.0997,-80.2572
135647,33014,25.9161,-80.2951
135717,33132-2204,25.7777,-80.1909
135726,33146,25.7204,-80.2765
135735,32809,28.4717,-81.416
135771,33144-4700,25.7607,-80.3038
135939,33619,27.9835,-82.386
135957,33169-4538,25.943,-80.2035
136048,33463-2113,26.6311,-80.1131
136066,33407,26.7582,-80.0948
136109,32246,30.2589,-81.5273
136145,32340,30.4739,-83.4219
136172,32224-7699,30.2709,-81.5079
136206,33409-2911,26.7147,-80.1041
136215,33314-7796,26.0793,-80.2425
136233,32578-1295,30.5371,-86.4755
136288,32810,28.6109,-81.3874
136303,32801-1197,28.5504,-81.3838
136330,33401,26.7046,-80.0498
136358,33461-4796,26.6132,-80.0871
136400,34654-5199,28.2751,-82.6467
136473,32504-8998,30.4808,-87.2006
136491,33760-2140,27.9119,-82.7191
136516,33881-4299,28.0308,-81.7129
136659,32570-8188,30.6468,-87.1006
136701,33436-4899,26.5158,-80.1257
136765,33881-9518,28.0766,-81.6545
136774,34234-5895,27.3596,-82.5486
136783,32256,30.3112,-81.6929
136826,33177,25.5991,-80.3904
136950,32789-4499,28.592,-81.3487
137023,32084-1919,29.9244,-81.3458
137032,33574-6665,28.3368,-82.2573
137078,33760-2822,27.901,-82.7174
137087,33711-2209,27.7612,-82.6815
137096,32606-6210,29.6807,-82.434
137120,34233-1798,27.2855,-82.5008
137148,34235,27.3514,-82.4654
137209,32773-6199,28.7448,-81.3056
137245,33021,26.0317,-80.198
137272,33165-3244,25.7426,-80.3374
137281,32177,29.6472,-81.6811
137315,33825-9356,27.5696,-81.5084
137351,33620-9951,28.0566,-82.4159
137476,33054-6459,25.9209,-80.2563
137537,32207,30.2896,-81.6351
137546,32723,29.0363,-81.3016
137564,33801-6034,28.0319,-81.919
137591,34652,28.2611,-82.7285
137713,32064,30.2821,-82.9926
137759,32304-2895,30.4452,-84.3415
137777,33140-3854,25.7949,-80.1413
137801,33614,27.9966,-82.4976
137810,33770-2556,27.9153,-82.7759
137847,33606-1490,27.9472,-82.4656
137856,32348,30.078,-83.5658
137865,32405,30.2034,-85.6466
137953,32221,30.3238,-81.7057
137962,34655-4401,28.1942,-82.6771
138132,34231-4813,27.2589,-82.5174
138187,32801,28.5226,-81.4642
138275,33859-8797,27.8258,-81.6
138284,32428-1618,30.7745,-85.5533
138293,33827-0096,27.8388,-81.5323
138309,34474-6226,29.1408,-82.1984
13830901,346545559,NULL,NULL
13830902,339057805,NULL,NULL
13830903,336109558,NULL,NULL
13830904,346389558,NULL,NULL
138354,32514-5750,30.5429,-87.2181
138372,34787-3733,28.5596,-81.5715
138479,33317,26.085,-80.2322
138488,32789,28.6044,-81.3617
138497,34450-4696,28.8349,-82.3456
138558,31793-2601,31.4819,-83.5283
138600,30030-3797,33.77,-84.2956
138655,30341,33.8895,-84.302
138664,30260,33.5723,-84.3361
138682,31701,31.5543,-84.1743
138691,31707-3098,31.5836,-84.2121
138716,31705,31.5714,-84.1431
138761,39840-5550,31.7723,-84.795
138789,31419-1997,31.9781,-81.1604
138813,30328-1635,33.9374,-84.3549
138822,30094,33.6415,-84.0131
138840,30310-4446,33.712,-84.405
138868,31833,33.6854,-84.4748
138901,30310-4498,33.7089,-84.4047
138929,30309,33.7934,-84.3878
138938,30338,33.9278,-84.2984
138947,30314-4391,33.7488,-84.4128
138956,30906,33.419,-82.0484
