id,city,county,state_code,state,zip_codes,type,latitude,longitude,area_code,population,households,median_income,land_area,water_area,time_zone
6460,Keswick,Keokuk County,IA,Iowa,50136,City,41.45251,-92.23935,319,240,94,50833,1123364,0,America/Chicago
6461,Keystone,Benton County,IA,Iowa,52249,City,41.99833,-92.19741,319,609,277,56354,1169172,0,America/Chicago
6462,Kimballton,Audubon County,IA,Iowa,51543,City,41.6286,-95.07305,712,301,138,35357,1987376,0,America/Chicago
6463,Kingsley,Plymouth County,IA,Iowa,51028,City,42.58832,-95.96752,712,1396,523,57386,4163343,0,America/Chicago
6464,Kinross,Keokuk County,IA,Iowa,52248 52335,City,41.46084,-91.98684,319,71,33,30625,512140,0,America/Chicago
6465,Kirkman,Shelby County,IA,Iowa,51447,City,41.7286,-95.26527,712,62,43,38125,730244,0,America/Chicago
6466,Kirkville,Wapello County,IA,Iowa,52566,City,41.14557,-92.50408,641,175,77,50893,1444641,0,America/Chicago
6467,Kiron,Crawford County,IA,Iowa,51448,City,42.19554,-95.32777,712,277,111,39125,539665,0,America/Chicago
6468,Klemme,Hancock County,IA,Iowa,50449,City,43.00691,-93.60299,641,484,203,50313,1315790,0,America/Chicago
6469,Knierim,Calhoun County,IA,Iowa,50552 50563 50586,City,42.45553,-94.45692,515,60,33,54583,2604920,0,America/Chicago
6470,Knoxville,Marion County,IA,Iowa,50138,City,41.32083,-93.10937,641,7248,3041,41723,11984129,0,America/Chicago
6471,Lacona,Warren County,IA,Iowa,50139,City,41.18972,-93.38299,641,363,171,39063,942273,0,America/Chicago
6472,Ladora,Iowa County,IA,Iowa,52251,City,41.75472,-92.18352,319,283,130,37500,786575,0,America/Chicago
6473,Lake City,Calhoun County,IA,Iowa,51449,City,42.26748,-94.73387,712,1670,777,36813,12462056,0,America/Chicago
6474,Lake Mills,Winnebago County,IA,Iowa,50450,City,43.4194,-93.53327,641,2060,879,40417,6984447,67118,America/Chicago
6475,Lake Panorama,Guthrie County,IA,Iowa,50216 50277,CDP,41.71105,-94.39059,641,1196,564,83214,17140578,4335914,America/Chicago
6476,Lake Park,Dickinson County,IA,Iowa,51347,City,43.45552,-95.32083,712,1137,440,58333,4025057,159520,America/Chicago
6477,Lakeside,Buena Vista County,IA,Iowa,50588,City,42.62137,-95.17333,712,700,246,60000,594584,0,America/Chicago
6478,Lake View,Sac County,IA,Iowa,51450,City,42.302,-95.03576,712,1125,587,46458,5494624,745243,America/Chicago
6479,Lakota,Kossuth County,IA,Iowa,50451,City,43.37718,-94.09385,515,287,111,27159,1884932,0,America/Chicago
6480,Lambs Grove,Jasper County,IA,Iowa,50208,City,41.70305,-93.07937,641,171,66,66875,265202,0,America/Chicago
6481,Lamoni,Decatur County,IA,Iowa,50140,City,40.62278,-93.93412,641,2376,788,32568,8657109,250243,America/Chicago
6482,Lamont,Buchanan County,IA,Iowa,50650,City,42.5986,-91.6421,563,457,163,44107,1511392,0,America/Chicago
6483,La Motte,Jackson County,IA,Iowa,52054,City,42.29585,-90.62096,563,253,101,61250,1184475,0,America/Chicago
6484,Lanesboro,Carroll County,IA,Iowa,51443 51451 51453,City,42.18443,-94.69137,712,116,43,36875,1923588,25917,America/Chicago
6485,Lansing,Allamakee County,IA,Iowa,52151,City,43.3622,-91.21652,563,939,392,35278,2788238,270341,America/Chicago
6486,La Porte City,Black Hawk County,IA,Iowa,50651,City,42.31499,-92.19213,319,2290,917,57112,6613462,170402,America/Chicago
6487,Larchwood,Lyon County,IA,Iowa,51241,City,43.45359,-96.43421,712,886,377,60956,2571774,0,America/Chicago
6488,Larrabee,Cherokee County,IA,Iowa,51029,City,42.86081,-95.54528,712,133,72,37500,337301,0,America/Chicago
6489,Latimer,Franklin County,IA,Iowa,50452,City,42.76331,-93.36826,641,483,210,42292,6213519,0,America/Chicago
6490,Laurel,Marshall County,IA,Iowa,50141,City,41.88416,-92.92214,641,242,124,41111,650047,0,America/Chicago
6491,Laurens,Pocahontas County,IA,Iowa,50554,City,42.84664,-94.85193,712,1180,605,37656,1896013,0,America/Chicago
6492,Lawler,Chickasaw County,IA,Iowa,52154,City,43.07053,-92.15017,563,423,175,44375,2289124,30081,America/Chicago
6493,Lawton,Woodbury County,IA,Iowa,51030,City,42.4786,-96.18391,712,960,321,62679,1848495,0,America/Chicago
6494,Leando,Van Buren County,IA,Iowa,52551,CDP,40.83363,-92.08879,641,28,18,48378,5078663,228377,America/Chicago
6495,Le Claire,Scott County,IA,Iowa,52722 52753,City,41.59864,-90.34346,563,3982,1538,76083,12093764,511946,America/Chicago
6496,Ledyard,Kossuth County,IA,Iowa,50556,City,43.42162,-94.16218,515,127,55,33438,857585,0,America/Chicago
6497,Le Grand,Marshall County/Tama County,IA,Iowa,50142 50158,City,42.00625,-92.77506,641,946,386,53929,2700113,18831,America/Chicago
6498,Lehigh,Webster County,IA,Iowa,50557,City,42.35997,-94.05218,515,399,224,29318,5415497,155121,America/Chicago
6499,Leighton,Mahaska County,IA,Iowa,50143,City,41.33722,-92.78714,641,161,66,49375,246200,0,America/Chicago
6500,Leland,Winnebago County,IA,Iowa,50453,City,43.33718,-93.63522,641,285,121,41528,3440178,81554,America/Chicago
6501,Le Mars,Plymouth County,IA,Iowa,51031,City,42.79416,-96.16558,712,9761,4177,49459,23285842,22701,America/Chicago
6502,Lenox,Taylor County/Adams County,IA,Iowa,50851,City,40.88318,-94.55865,641,1385,690,36852,5125783,211638,America/Chicago
6503,Leon,Decatur County,IA,Iowa,50144,City,40.73972,-93.74772,641,1903,780,30893,8216621,22454,America/Chicago
6504,Le Roy,Decatur County,IA,Iowa,50103 50264,City,40.87778,-93.59272,641,14,2,35698,853677,0,America/Chicago
6505,Lester,Lyon County,IA,Iowa,51241 51242 51246,City,43.4447,-96.33309,712,294,120,56667,4720356,0,America/Chicago
6506,Letts,Louisa County,IA,Iowa,52754,City,41.32836,-91.2371,319,377,140,51389,1517544,0,America/Chicago
6507,Lewis,Cass County,IA,Iowa,51544,City,41.30582,-95.08332,712,416,201,37813,1295385,0,America/Chicago
6508,Libertyville,Jefferson County,IA,Iowa,52567,City,40.95752,-92.05129,641,333,154,41667,1262618,0,America/Chicago
6509,Lidderdale,Carroll County,IA,Iowa,51401 51443 51452,City,42.12443,-94.78304,712,176,79,44306,6255311,0,America/Chicago
6510,Lime Springs,Howard County,IA,Iowa,52155,City,43.44886,-92.28073,563,490,206,47500,2637057,0,America/Chicago
6511,Lincoln,Tama County,IA,Iowa,50635 50652,City,42.26276,-92.69187,641,157,65,32083,1189602,0,America/Chicago
6512,Linden,Dallas County,IA,Iowa,50146,City,41.64443,-94.26913,641,210,78,41250,2074764,0,America/Chicago
6513,Lineville,Wayne County,IA,Iowa,50147,City,40.5814,-93.52383,641,219,113,30313,2320405,0,America/Chicago
6514,Linn Grove,Buena Vista County,IA,Iowa,51033,City,42.89164,-95.24666,712,154,69,33750,1445854,66340,America/Chicago
6515,Lisbon,Linn County,IA,Iowa,52253 52314,City,41.92112,-91.38545,319,2202,762,49310,5547618,0,America/Chicago
6516,Liscomb,Marshall County,IA,Iowa,50148,City,42.18999,-93.00381,641,304,104,44643,2546144,0,America/Chicago
6517,Little Cedar,Mitchell County,IA,Iowa,50454,CDP,43.38025,-92.72574,641,49,30,28393,4583683,0,America/Chicago
6518,Little Rock,Lyon County,IA,Iowa,51243,City,43.44414,-95.88335,712,441,193,50313,2079211,0,America/Chicago
6519,Little Sioux,Harrison County,IA,Iowa,51545,City,41.80943,-96.02112,712,162,69,32813,961699,0,America/Chicago
6520,Livermore,Humboldt County,IA,Iowa,50558,City,42.86858,-94.18524,515,366,175,51563,1813318,0,America/Chicago
6521,Lockridge,Jefferson County,IA,Iowa,52635,City,40.99475,-91.74822,319,283,108,31250,1939695,0,America/Chicago
