id,city,county,state_code,state,zip_codes,type,latitude,longitude,area_code,population,households,median_income,land_area,water_area,time_zone
6627,Mount Ayr,Ringgold County,IA,Iowa,50854,City,40.71471,-94.23523,641,1686,716,45865,6878943,53165,America/Chicago
6628,Mount Pleasant,Henry County,IA,Iowa,52641,City,40.96364,-91.55794,319,8433,3047,45977,22031144,39135,America/Chicago
6629,Mount Sterling,Van Buren County,IA,Iowa,52573,CDP,40.61781,-91.93212,319,36,17,127639,8529347,5067,America/Chicago
6630,Mount Union,Henry County,IA,Iowa,52644,City,41.05781,-91.39043,319,107,43,55938,290004,0,America/Chicago
6631,Mount Vernon,Linn County,IA,Iowa,52314,City,41.92195,-91.41684,319,4486,1273,70809,9045787,16175,America/Chicago
6632,Moville,Woodbury County,IA,Iowa,51039,City,42.48888,-96.07252,712,1634,561,60972,2312125,0,America/Chicago
6633,Murray,Clarke County,IA,Iowa,50174,City,41.04166,-93.94939,641,735,270,41458,2056896,0,America/Chicago
6634,Muscatine,Muscatine County,IA,Iowa,52761,City,41.42447,-91.04321,563,23968,9413,44535,47043010,2734135,America/Chicago
6635,Mystic,Appanoose County,IA,Iowa,52574,City,40.77751,-92.94381,641,411,173,28977,7558496,0,America/Chicago
6636,Nashua,Chickasaw County/Floyd County,IA,Iowa,50658,City,42.95039,-92.54254,641,1621,731,40066,7456465,671683,America/Chicago
6637,Nemaha,Sac County,IA,Iowa,50567,City,42.51581,-95.08832,712,83,36,52500,190439,0,America/Chicago
6638,Neola,Pottawattamie County,IA,Iowa,51559,City,41.44888,-95.61556,712,862,345,48906,1224481,9012,America/Chicago
6639,Nevada,Story County,IA,Iowa,50201,City,42.02277,-93.45243,515,6831,2809,55654,14667751,48040,America/Chicago
6640,New Albin,Allamakee County,IA,Iowa,52160,City,43.49664,-91.28958,563,496,241,27266,628819,0,America/Chicago
6641,Newell,Buena Vista County,IA,Iowa,50568,City,42.60553,-95.00277,712,871,446,47083,3270701,0,America/Chicago
6642,Newhall,Benton County,IA,Iowa,52315,City,41.99556,-91.96768,319,850,376,60769,818388,0,America/Chicago
6643,New Hampton,Chickasaw County,IA,Iowa,50659,City,43.05914,-92.31768,641,3452,1546,41210,8189391,0,America/Chicago
6644,New Hartford,Butler County,IA,Iowa,50613 50660,City,42.56693,-92.62214,319,508,265,46685,1291467,0,America/Chicago
6645,New Haven,Mitchell County,IA,Iowa,50461,CDP,43.28442,-92.64213,641,37,29,33106,4989194,0,America/Chicago
6646,New Liberty,Scott County,IA,Iowa,52765,City,41.7178,-90.87904,563,142,54,65833,233728,0,America/Chicago
6647,New London,Henry County,IA,Iowa,52645,City,40.92698,-91.3996,319,1882,770,42639,2606812,0,America/Chicago
6648,New Market,Taylor County,IA,Iowa,51646,City,40.7311,-94.8997,712,408,200,41000,1137520,1856,America/Chicago
6649,New Providence,Hardin County,IA,Iowa,50206,City,42.2811,-93.17159,641,227,90,47692,2608428,0,America/Chicago
6650,New Sharon,Mahaska County,IA,Iowa,50207,City,41.47,-92.6513,641,1291,523,52772,2426057,0,America/Chicago
6651,Newton,Jasper County,IA,Iowa,50208,City,41.69971,-93.04798,641,15125,6399,45421,28972980,0,America/Chicago
6652,New Vienna,Dubuque County,IA,Iowa,52065,City,42.54805,-91.1143,563,424,214,50714,1207105,0,America/Chicago
6653,New Virginia,Warren County,IA,Iowa,50210,City,41.18222,-93.72883,641,485,187,58393,1196688,0,America/Chicago
6654,Nichols,Muscatine County,IA,Iowa,52766,City,41.48114,-91.30766,319,372,156,55833,600795,0,America/Chicago
6655,Nodaway,Adams County,IA,Iowa,50857,City,40.93721,-94.89498,712,108,61,31875,1386235,0,America/Chicago
6656,Nora Springs,Floyd County/Cerro Gordo County,IA,Iowa,50458,City,43.14408,-93.00893,641,1389,653,43050,5660055,69206,America/Chicago
6657,Northboro,Page County,IA,Iowa,51647,City,40.60777,-95.29165,712,57,19,30625,661699,0,America/Chicago
6658,North Buena Vista,Clayton County,IA,Iowa,52053 52066 52073,City,42.67972,-90.95652,563,113,73,36250,2601505,92469,America/Chicago
6659,North English,Keokuk County/Iowa County,IA,Iowa,52316,City,41.5164,-92.07763,319,1022,422,45000,1433069,0,America/Chicago
6660,North Liberty,Johnson County,IA,Iowa,52317 52340,City,41.74918,-91.59795,319,15931,5942,72470,22785087,0,America/Chicago
6661,North Washington,Chickasaw County,IA,Iowa,50659 50661,City,43.11803,-92.41685,641,115,57,60313,514555,0,America/Chicago
6662,Northwood,Worth County,IA,Iowa,50459,City,43.44412,-93.22104,641,1995,958,42768,9745770,0,America/Chicago
6663,Norwalk,Warren County/Polk County,IA,Iowa,50061 50211 50321,City,41.49168,-93.70212,515,10135,3459,80406,27846854,916531,America/Chicago
6664,Norway,Benton County,IA,Iowa,52318,City,41.90278,-91.92157,319,526,258,48929,1154591,0,America/Chicago
6665,Numa,Appanoose County,IA,Iowa,52544,City,40.68807,-92.97798,641,90,32,24167,1146680,0,America/Chicago
6666,Oakland,Pottawattamie County,IA,Iowa,51560,City,41.30916,-95.39667,712,1507,599,64464,3686512,403170,America/Chicago
6667,Oakland Acres,Jasper County,IA,Iowa,50112,City,41.71722,-92.82047,641,155,57,82250,733443,57402,America/Chicago
6668,Oakville,Louisa County,IA,Iowa,52646,City,41.09976,-91.04459,319,170,54,26000,1083945,12814,America/Chicago
6669,Ocheyedan,Osceola County,IA,Iowa,51354,City,43.41608,-95.53473,712,466,223,36932,3011736,0,America/Chicago
6670,Odebolt,Sac County,IA,Iowa,51458,City,42.31221,-95.25055,712,978,508,45192,2713561,0,America/Chicago
6671,Oelwein,Fayette County,IA,Iowa,50662,City,42.67332,-91.9135,319,6153,2764,39800,12450068,122922,America/Chicago
6672,Ogden,Boone County,IA,Iowa,50212,City,42.03915,-94.02773,515,2041,848,52500,3557336,0,America/Chicago
6673,Okoboji,Dickinson County,IA,Iowa,51355,City,43.38635,-95.14833,712,818,434,58636,4821794,12936,America/Chicago
6674,Olds,Henry County,IA,Iowa,52647 52659,City,41.13419,-91.54488,319,234,83,59375,873753,0,America/Chicago
6675,Olin,Jones County,IA,Iowa,52320,City,41.99807,-91.14155,319,688,299,43393,2648687,21490,America/Chicago
6676,Ollie,Keokuk County,IA,Iowa,52576,City,41.19807,-92.0924,641,210,104,40441,2562541,0,America/Chicago
6677,Onawa,Monona County,IA,Iowa,51040,City,42.02665,-96.09724,712,2881,1233,33678,13435793,0,America/Chicago
6678,Onslow,Jones County,IA,Iowa,52321,City,42.10696,-91.01515,319,196,103,45114,583274,0,America/Chicago
6679,Orange City,Sioux County,IA,Iowa,51041,City,43.00721,-96.05835,712,6198,1972,62273,11053201,0,America/Chicago
6680,Orchard,Mitchell County,IA,Iowa,50460,City,43.22747,-92.77214,641,70,22,33750,229007,0,America/Chicago
6681,Orient,Adair County,IA,Iowa,50858,City,41.20304,-94.41468,641,379,182,41250,1175979,0,America/Chicago
6682,Orleans,Dickinson County,IA,Iowa,51360,City,43.44718,-95.09249,712,614,224,68750,2904434,21413,America/Chicago
6683,Osage,Mitchell County,IA,Iowa,50461,City,43.28414,-92.81103,641,3654,1615,44410,5873195,0,America/Chicago
6684,Osceola,Clarke County,IA,Iowa,50213,City,41.03389,-93.7655,641,4972,2038,38885,16740435,529183,America/Chicago
6685,Oskaloosa,Mahaska County,IA,Iowa,52577,City,41.2964,-92.64436,641,11607,4932,39385,20688146,39275,America/Chicago
6686,Ossian,Winneshiek County,IA,Iowa,52161,City,43.14636,-91.7646,563,819,379,54519,2872247,0,America/Chicago
6687,Osterdock,Clayton County,IA,Iowa,52035 52052,City,42.7336,-91.15791,563,57,33,69375,1190316,0,America/Chicago
6688,Otho,Webster County,IA,Iowa,50569,City,42.42469,-94.15024,515,524,234,43958,1186076,0,America/Chicago
6689,Oto,Woodbury County,IA,Iowa,51044,City,42.28388,-95.89307,712,108,35,23750,685907,0,America/Chicago
6690,Otranto,Mitchell County,IA,Iowa,50472,CDP,43.4583,-92.98575,641,7,7,33106,1129880,0,America/Chicago
6691,Ottosen,Humboldt County,IA,Iowa,50570,City,42.89497,-94.37997,515,37,27,36875,1469608,0,America/Chicago
6692,Ottumwa,Wapello County,IA,Iowa,52501,City,41.02001,-92.4113,641,24624,10253,38095,41076954,1741889,America/Chicago
6693,Owasa,Hardin County,IA,Iowa,50126,City,42.43359,-93.20715,641,43,14,25000,1462205,0,America/Chicago
6694,Oxford,Johnson County,IA,Iowa,52322,City,41.72334,-91.79045,319,825,352,62500,2352536,0,America/Chicago
6695,Oxford Junction,Jones County,IA,Iowa,52323,City,41.98363,-90.95626,563,484,226,35625,1799729,0,America/Chicago
6696,Oyens,Plymouth County,IA,Iowa,51031 51045,City,42.82027,-96.0578,712,101,27,64688,262693,0,America/Chicago
6697,Pacific Junction,Mills County,IA,Iowa,51561,City,41.01861,-95.79917,712,457,148,39375,1961815,0,America/Chicago
6698,Packwood,Jefferson County,IA,Iowa,52580,City,41.13279,-92.08268,319,215,104,53125,1967754,0,America/Chicago
6699,Palmer,Pocahontas County,IA,Iowa,50571,City,42.63053,-94.60053,712,160,85,31875,1095799,0,America/Chicago
6700,Palo,Linn County,IA,Iowa,52324,City,42.06611,-91.79546,319,1053,331,71625,3179431,2933,America/Chicago
6701,Panama,Shelby County,IA,Iowa,51562,City,41.72638,-95.47222,712,218,88,54063,740630,0,America/Chicago
6702,Panora,Guthrie County,IA,Iowa,50216,City,41.69165,-94.36302,641,1085,482,46970,4662596,0,America/Chicago
6703,Panorama Park,Scott County,IA,Iowa,52722,City,41.55559,-90.45319,563,144,50,43750,138641,0,America/Chicago
6704,Parkersburg,Butler County,IA,Iowa,50665,City,42.57748,-92.78686,319,1960,821,46292,3665451,0,America/Chicago
6705,Park View,Scott County,IA,Iowa,52748,CDP,41.6942,-90.54569,563,2476,923,53406,2738828,0,America/Chicago
6706,Parnell,Iowa County,IA,Iowa,52325,City,41.58306,-92.00407,319,220,91,49531,447582,0,America/Chicago
6707,Paton,Greene County,IA,Iowa,50217,City,42.16442,-94.25524,515,229,120,41250,1460896,2306,America/Chicago
6708,Patterson,Madison County,IA,Iowa,50218 50229 50273,City,41.34832,-93.8805,515,161,50,65500,1218997,0,America/Chicago
6709,Paullina,O'Brien County,IA,Iowa,51046,City,42.97915,-95.68807,712,1017,451,47891,2189745,0,America/Chicago
6710,Pella,Marion County/Mahaska County,IA,Iowa,50219,City,41.40514,-92.91775,641,10363,3748,57096,23294059,0,America/Chicago
6711,Peosta,Dubuque County,IA,Iowa,52068,City,42.45056,-90.85041,563,1618,477,81750,5337983,0,America/Chicago
6712,Percival,Fremont County,IA,Iowa,51648,CDP,40.74889,-95.81361,712,21,16,28500,1139554,0,America/Chicago
6713,Perry,Dallas County,IA,Iowa,50220,City,41.8386,-94.10718,515,8089,2818,45691,13284727,13354,America/Chicago
6714,Persia,Harrison County,IA,Iowa,51563,City,41.57999,-95.56806,712,299,120,50000,1218194,0,America/Chicago
6715,Peterson,Clay County,IA,Iowa,51047,City,42.91803,-95.34389,712,318,174,39643,1344655,56497,America/Chicago
6716,Pierson,Woodbury County,IA,Iowa,51048,City,42.54416,-95.86751,712,357,180,44167,1597582,0,America/Chicago
6717,Pilot Mound,Boone County,IA,Iowa,50223,City,42.16442,-94.01662,515,175,95,28906,2538608,0,America/Chicago
6718,Pioneer,Humboldt County,IA,Iowa,50541,City,42.65386,-94.39247,515,22,2,45524,164585,0,America/Chicago
6719,Pisgah,Harrison County,IA,Iowa,51564,City,41.83138,-95.92557,712,239,112,40167,2608748,0,America/Chicago
6720,Plainfield,Bremer County,IA,Iowa,50666,City,42.84748,-92.53713,319,425,193,48125,844917,0,America/Chicago
6721,Plano,Appanoose County,IA,Iowa,52581,City,40.75556,-93.04659,641,69,31,39583,1461594,0,America/Chicago
6722,Pleasant Hill,Polk County,IA,Iowa,50317 50327,City,41.58388,-93.51994,515,9314,3482,73224,23587149,814551,America/Chicago
6723,Pleasanton,Decatur County,IA,Iowa,50065,City,40.58056,-93.74383,641,46,6,53750,899130,0,America/Chicago
6724,Pleasant Plain,Jefferson County,IA,Iowa,52540,City,41.14724,-91.85906,319,98,28,33333,2637328,0,America/Chicago
6725,Pleasantville,Marion County,IA,Iowa,50225,City,41.38583,-93.26937,515,1669,805,49954,6558223,18922,America/Chicago
6726,Plover,Pocahontas County,IA,Iowa,50573 50581,City,42.8783,-94.62053,712,74,24,42500,1406980,0,America/Chicago
6727,Plymouth,Cerro Gordo County,IA,Iowa,50464,City,43.2458,-93.12298,641,373,174,49167,1131683,0,America/Chicago
6728,Pocahontas,Pocahontas County,IA,Iowa,50574,City,42.73553,-94.66915,712,1740,846,41477,5222760,0,America/Chicago
6729,Polk City,Polk County,IA,Iowa,50156 50226,City,41.77138,-93.713,515,4323,1303,90257,12989541,378926,America/Chicago
6730,Pomeroy,Calhoun County,IA,Iowa,50575,City,42.55109,-94.68387,712,625,339,37768,5288443,0,America/Chicago
6731,Popejoy,Franklin County,IA,Iowa,50006 50227,City,42.59387,-93.42604,515,77,18,38750,1916554,0,America/Chicago
6732,Portland,Cerro Gordo County,IA,Iowa,50401,CDP,43.12858,-93.12354,641,17,11,46642,546441,0,America/Chicago
6733,Portsmouth,Shelby County,IA,Iowa,51565,City,41.65027,-95.51861,712,190,99,44688,714105,1208,America/Chicago
6734,Postville,Clayton County/Allamakee County,IA,Iowa,52162,City,43.08395,-91.56821,563,2131,849,35089,5465968,0,America/Chicago
6735,Prairieburg,Linn County,IA,Iowa,52219,City,42.23833,-91.42238,319,179,81,50625,1194124,0,America/Chicago
6736,Prairie City,Jasper County,IA,Iowa,50228,City,41.59943,-93.23521,515,1709,650,60417,3119959,0,America/Chicago
6737,Prescott,Adams County,IA,Iowa,50859,City,41.02304,-94.61358,641,246,118,52500,1035851,0,America/Chicago
6738,Preston,Jackson County,IA,Iowa,52069,City,42.0503,-90.41402,563,978,436,44063,2493850,0,America/Chicago
6739,Primghar,O'Brien County,IA,Iowa,51245,City,43.08692,-95.62723,712,879,344,47727,3582455,0,America/Chicago
6740,Princeton,Scott County,IA,Iowa,52768,City,41.67475,-90.34041,563,929,405,60865,6673472,134,America/Chicago
6741,Promise City,Wayne County,IA,Iowa,52583,City,40.74751,-93.14715,641,112,69,30625,489474,9751,America/Chicago
6742,Protivin,Howard County/Chickasaw County,IA,Iowa,52163 52171,City,43.21643,-92.08914,563,279,129,34464,1253550,0,America/Chicago
6743,Pulaski,Davis County,IA,Iowa,52584,City,40.69697,-92.27324,641,275,120,42500,1328137,2349,America/Chicago
6744,Quasqueton,Buchanan County,IA,Iowa,50682 52326 52329,City,42.39443,-91.761,319,547,232,37321,2933688,85438,America/Chicago
6745,Quimby,Cherokee County,IA,Iowa,51049,City,42.63026,-95.64195,712,303,116,40000,1052153,0,America/Chicago
6746,Radcliffe,Hardin County,IA,Iowa,50230,City,42.31526,-93.43438,515,538,241,52875,2581283,0,America/Chicago
6747,Rake,Winnebago County,IA,Iowa,50465,City,43.48384,-93.91884,641,221,95,28875,2094456,0,America/Chicago
6748,Ralston,Carroll County/Greene County,IA,Iowa,51443 51459 51462,City,42.04177,-94.6293,712,75,36,41429,5162218,0,America/Chicago
6749,Randalia,Fayette County,IA,Iowa,52164,City,42.86304,-91.88572,563,66,25,36563,562395,0,America/Chicago
6750,Randall,Hamilton County,IA,Iowa,50231,City,42.23832,-93.60077,515,169,75,54375,1065167,0,America/Chicago
6751,Randolph,Fremont County,IA,Iowa,51649,City,40.87305,-95.56639,712,155,79,47292,822468,0,America/Chicago
6752,Rathbun,Appanoose County,IA,Iowa,52544,City,40.80112,-92.88881,641,87,37,36094,561674,0,America/Chicago
6753,Raymond,Black Hawk County,IA,Iowa,50648 50667,City,42.46888,-92.21963,319,816,300,69375,4226354,0,America/Chicago
6754,Readlyn,Bremer County,IA,Iowa,50668,City,42.70221,-92.22546,319,826,335,57438,851122,0,America/Chicago
6755,Reasnor,Jasper County,IA,Iowa,50232,City,41.57833,-93.02325,641,153,61,43750,1434903,0,America/Chicago
6756,Redding,Ringgold County,IA,Iowa,50860,City,40.60471,-94.38774,641,81,36,22500,2576395,23764,America/Chicago
6757,Redfield,Dallas County,IA,Iowa,50233,City,41.58943,-94.19607,515,873,359,52054,3632482,0,America/Chicago
6758,Red Oak,Montgomery County,IA,Iowa,51566 51591,City,41.00972,-95.22555,712,5472,2480,33977,10219132,145797,America/Chicago
6759,Reinbeck,Grundy County,IA,Iowa,50669,City,42.3236,-92.59936,319,1639,806,49896,5633309,0,America/Chicago
6760,Rembrandt,Buena Vista County,IA,Iowa,50576,City,42.82553,-95.16638,712,204,80,38611,608527,0,America/Chicago
6761,Remsen,Plymouth County,IA,Iowa,51050,City,42.81471,-95.97335,712,1632,694,51154,3371052,0,America/Chicago
6762,Renwick,Humboldt County,IA,Iowa,50577,City,42.82803,-93.98106,515,235,131,40865,2599913,0,America/Chicago
6763,Rhodes,Marshall County,IA,Iowa,50234,City,41.92554,-93.18631,641,308,134,42222,2626326,0,America/Chicago
6764,Riceville,Howard County/Mitchell County,IA,Iowa,50466,City,43.36248,-92.55331,641,810,377,38229,2846857,26844,America/Chicago
6765,Richland,Keokuk County,IA,Iowa,52585,City,41.18557,-91.99295,319,562,255,50729,1988785,0,America/Chicago
6766,Rickardsville,Dubuque County,IA,Iowa,52039,City,42.58333,-90.88402,563,181,71,68750,2368705,0,America/Chicago
6767,Ricketts,Crawford County,IA,Iowa,51439 51460,City,42.12693,-95.575,712,142,59,45583,661788,0,America/Chicago
6768,Ridgeway,Winneshiek County,IA,Iowa,52165,City,43.29775,-91.98766,563,309,162,44038,2638045,0,America/Chicago
6769,Rinard,Calhoun County,IA,Iowa,51453,City,42.3397,-94.48858,515,52,30,42500,2590570,0,America/Chicago
6770,Ringsted,Emmet County,IA,Iowa,50578,City,43.29468,-94.51164,712,392,188,36250,2793961,0,America/Chicago
6771,Rippey,Greene County,IA,Iowa,50235,City,41.93387,-94.20135,515,283,88,45357,2180011,0,America/Chicago
6772,Riverdale,Scott County,IA,Iowa,52722,City,41.54448,-90.45819,563,413,207,71875,4752724,931553,America/Chicago
6773,Riverside,Washington County,IA,Iowa,52327,City,41.47974,-91.58128,319,1045,468,47500,4572527,0,America/Chicago
6774,River Sioux,Harrison County,IA,Iowa,51545,CDP,41.80582,-96.0464,712,138,50,19211,985684,0,America/Chicago
6775,Riverton,Fremont County,IA,Iowa,51650,City,40.68695,-95.5686,712,282,139,52596,1537769,0,America/Chicago
6776,Robins,Linn County,IA,Iowa,52302 52328 52411,City,42.07111,-91.66684,319,3454,1130,107639,15049440,20935,America/Chicago
6777,Rochester,Cedar County,IA,Iowa,52772,CDP,41.67391,-91.15849,563,40,20,46467,2464954,62149,America/Chicago
6778,Rock Falls,Cerro Gordo County,IA,Iowa,50401 50467,City,43.20747,-93.08465,641,152,70,46250,547425,0,America/Chicago
6779,Rockford,Floyd County,IA,Iowa,50468,City,43.05219,-92.94853,641,844,321,44688,1635446,0,America/Chicago
6780,Rock Rapids,Lyon County,IA,Iowa,51246,City,43.42719,-96.17586,712,2602,1081,52446,10247793,0,America/Chicago
6781,Rock Valley,Sioux County,IA,Iowa,51247,City,43.20526,-96.29503,712,3693,1286,55610,8581425,132703,America/Chicago
6782,Rockwell,Cerro Gordo County,IA,Iowa,50469,City,42.98524,-93.19187,641,1019,471,52760,7724701,0,America/Chicago
6783,Rockwell City,Calhoun County,IA,Iowa,50579,City,42.39526,-94.63387,712,2141,796,41304,10942257,0,America/Chicago
6784,Rodman,Palo Alto County,IA,Iowa,50597,City,43.02858,-94.53109,515,44,30,26667,441302,0,America/Chicago
6785,Rodney,Monona County,IA,Iowa,51051,City,42.20555,-95.95251,712,58,34,39500,420736,0,America/Chicago
6786,Roland,Story County,IA,Iowa,50236,City,42.16637,-93.50188,515,1304,523,64107,2990944,0,America/Chicago
6787,Rolfe,Pocahontas County,IA,Iowa,50581,City,42.81275,-94.52692,712,559,239,36442,2719090,2880,America/Chicago
6788,Rome,Henry County,IA,Iowa,52641 52642,City,40.98141,-91.68239,319,117,58,40000,335369,1561,America/Chicago
6789,Rose Hill,Mahaska County,IA,Iowa,52586,City,41.32195,-92.46213,641,167,62,30556,353762,0,America/Chicago
6790,Roseville,Floyd County,IA,Iowa,50468 50653,CDP,43.00914,-92.80992,641,0,0,0,9561005,0,America/Chicago
6791,Rossie,Clay County,IA,Iowa,51357,City,43.01331,-95.18861,712,71,37,45625,374235,0,America/Chicago
6792,Rowan,Wright County,IA,Iowa,50470,City,42.74081,-93.55271,641,155,74,32292,1266617,0,America/Chicago
6793,Rowley,Buchanan County,IA,Iowa,52329,City,42.36999,-91.84406,319,267,98,55556,925194,0,America/Chicago
6794,Royal,Clay County,IA,Iowa,51357,City,43.06553,-95.28389,712,427,218,46786,764163,0,America/Chicago
6795,Rudd,Floyd County,IA,Iowa,50471,City,43.12608,-92.90575,641,361,182,43125,2253970,0,America/Chicago
6796,Runnells,Polk County,IA,Iowa,50237,City,41.5111,-93.35743,515,516,208,67500,1103387,0,America/Chicago
6797,Russell,Lucas County,IA,Iowa,50238,City,40.98195,-93.19854,641,537,221,32750,2685787,692,America/Chicago
6798,Ruthven,Palo Alto County,IA,Iowa,51358,City,43.12913,-94.89915,712,704,285,36875,1084187,0,America/Chicago
6799,Rutland,Humboldt County,IA,Iowa,50582,City,42.75914,-94.29774,515,126,51,32813,2333844,0,America/Chicago
6800,Ryan,Delaware County,IA,Iowa,52330,City,42.35138,-91.48155,563,362,162,57692,1111252,0,America/Chicago
6801,Sabula,Jackson County,IA,Iowa,52070,City,42.07113,-90.17402,563,552,271,43264,1046219,2222239,America/Chicago
6802,Sac City,Sac County,IA,Iowa,50583,City,42.4222,-94.98971,712,2144,1031,45434,12589226,173993,America/Chicago
6803,Sageville,Dubuque County,IA,Iowa,52001,City,42.55278,-90.70902,563,103,39,49792,2230413,0,America/Chicago
6804,Salem,Henry County,IA,Iowa,52649,City,40.85281,-91.62016,319,376,171,33750,1581926,9631,America/Chicago
6805,Salix,Woodbury County,IA,Iowa,51052,City,42.30833,-96.2878,712,380,146,53611,3924122,33829,America/Chicago
6806,Sanborn,O'Brien County,IA,Iowa,51248,City,43.18164,-95.65557,712,1385,544,45583,4913243,0,America/Chicago
6807,Sandyville,Warren County,IA,Iowa,50001,City,41.37083,-93.38632,515,51,24,30625,1314244,0,America/Chicago
6808,Saylorville,Polk County,IA,Iowa,50021 50023 50313,CDP,41.6786,-93.62966,515,2944,1211,71079,18216698,0,America/Chicago
6809,Scarville,Winnebago County,IA,Iowa,50473,City,43.47051,-93.61772,641,71,44,40000,213985,0,America/Chicago
6810,Schaller,Sac County,IA,Iowa,51053,City,42.4997,-95.29305,712,745,314,41125,3260453,0,America/Chicago
6811,Schleswig,Crawford County,IA,Iowa,51461,City,42.16527,-95.43694,712,881,395,47250,3361682,31306,America/Chicago
6812,Scranton,Greene County,IA,Iowa,51462,City,42.02248,-94.54525,712,530,241,43393,4861045,0,America/Chicago
6813,Searsboro,Poweshiek County,IA,Iowa,50242,City,41.58055,-92.70352,641,143,68,33056,1162255,0,America/Chicago
6814,Sergeant Bluff,Woodbury County,IA,Iowa,51054,City,42.40388,-96.35864,712,4520,1429,72614,5486100,802,America/Chicago
6815,Sexton,Kossuth County,IA,Iowa,50511,CDP,43.08274,-94.08912,515,46,15,42285,5701923,0,America/Chicago
6816,Seymour,Wayne County,IA,Iowa,52590,City,40.68251,-93.12104,641,696,322,34231,6074815,10601,America/Chicago
6817,Shambaugh,Page County,IA,Iowa,51632 51651,City,40.65888,-95.03192,712,186,85,39750,943238,0,America/Chicago
6818,Shannon City,Ringgold County/Union County,IA,Iowa,50861,City,40.89875,-94.26365,641,70,25,28750,1066714,5196,America/Chicago
6819,Sharpsburg,Taylor County,IA,Iowa,50862,City,40.80249,-94.64247,641,88,57,26750,938593,18565,America/Chicago
6820,Sheffield,Franklin County,IA,Iowa,50475,City,42.8933,-93.2152,641,1140,427,49375,14382610,74080,America/Chicago
6821,Shelby,Shelby County/Pottawattamie County,IA,Iowa,51570,City,41.50667,-95.45056,712,618,270,41389,4846450,0,America/Chicago
6822,Sheldahl,Story County/Polk County/Boone County,IA,Iowa,50226 50243 50244,City,41.86429,-93.69672,515,320,97,50625,2177716,0,America/Chicago
6823,Sheldon,O'Brien County/Sioux County,IA,Iowa,51201,City,43.17962,-95.84401,712,5088,2348,46646,12030140,0,America/Chicago
6824,Shell Rock,Butler County,IA,Iowa,50670,City,42.71026,-92.58297,319,1323,531,50521,4043759,248030,America/Chicago
6825,Shellsburg,Benton County,IA,Iowa,52332,City,42.09444,-91.86935,319,951,396,46667,1984679,0,America/Chicago
6826,Shenandoah,Page County/Fremont County,IA,Iowa,51601 51602 51603,City,40.7583,-95.37206,712,5021,2180,41310,9703911,0,America/Chicago
6827,Sherrill,Dubuque County,IA,Iowa,52073,City,42.60389,-90.78457,563,176,79,69107,330461,0,America/Chicago
6828,Shueyville,Johnson County,IA,Iowa,52338 52404,City,41.85056,-91.64656,319,672,181,95208,4625040,0,America/Chicago
6829,Sibley,Osceola County,IA,Iowa,51249,City,43.39914,-95.75196,712,2668,1109,48393,4357730,0,America/Chicago
6830,Sidney,Fremont County,IA,Iowa,51652,City,40.74833,-95.6475,712,1044,404,50109,3574674,0,America/Chicago
6831,Sigourney,Keokuk County,IA,Iowa,52591,City,41.33334,-92.20463,641,2005,978,42500,5654114,0,America/Chicago
6832,Silver City,Mills County,IA,Iowa,51571,City,41.11333,-95.63723,712,243,66,51250,563372,0,America/Chicago
6833,Sioux Center,Sioux County,IA,Iowa,51250,City,43.07971,-96.17558,712,7461,2227,64238,16364423,0,America/Chicago
6834,Sioux City,Plymouth County/Woodbury County,IA,Iowa,51054 51101 51102 51103 51104 51105 51106 51108 51109 51111,City,42.49567,-96.39053,712,82821,31419,43629,151384492,3018320,America/Chicago
6835,Sioux Rapids,Buena Vista County,IA,Iowa,50585,City,42.89331,-95.15111,712,777,297,37560,2143971,0,America/Chicago
6836,Slater,Story County,IA,Iowa,50243 50244,City,41.87776,-93.67855,515,1506,564,73971,3481234,0,America/Chicago
6837,Sloan,Woodbury County,IA,Iowa,51055,City,42.23277,-96.22808,712,979,403,55417,1611552,0,America/Chicago
6838,Smithland,Woodbury County,IA,Iowa,51056,City,42.22916,-95.93084,712,225,78,36250,956520,0,America/Chicago
6839,Soldier,Monona County,IA,Iowa,51572,City,41.98527,-95.77945,712,168,75,34063,759541,0,America/Chicago
6840,Solon,Johnson County,IA,Iowa,52333,City,41.80723,-91.49406,319,2545,852,65000,3686858,0,America/Chicago
6841,Somers,Calhoun County,IA,Iowa,50586,City,42.37831,-94.42997,515,109,58,41250,896389,0,America/Chicago
6842,South Amana,Iowa County,IA,Iowa,52203 52334,CDP,41.77612,-91.9674,319,160,67,61971,3586675,0,America/Chicago
6843,South English,Keokuk County,IA,Iowa,52335,City,41.45223,-92.09046,319,207,90,51250,776438,0,America/Chicago
6844,Spencer,Clay County,IA,Iowa,51301,City,43.14136,-95.14444,712,11212,5015,44467,28053419,415322,America/Chicago
6845,Spillville,Winneshiek County,IA,Iowa,52132 52168,City,43.20497,-91.951,563,355,165,36964,1093926,20332,America/Chicago
6846,Spirit Lake,Dickinson County,IA,Iowa,51360,City,43.42218,-95.10222,712,5018,2354,53971,11784222,50684,America/Chicago
6847,Spragueville,Jackson County,IA,Iowa,52069 52074,City,42.07252,-90.43513,563,81,48,40833,1727287,0,America/Chicago
6848,Springbrook,Jackson County,IA,Iowa,52031 52075,City,42.16419,-90.47652,563,140,71,75250,1549068,0,America/Chicago
6849,Spring Hill,Warren County,IA,Iowa,50125,City,41.41138,-93.64494,515,63,14,35000,312287,0,America/Chicago
