Number,Number1,Number2,Zip,Number3,Number4,Number5,Number6,Latitude,Longitude
126562,450800,4508,80217-3364,0,1,1,3,39.7464,-104.9993
126580,450900,4509,80918,0,1,1,3,38.8927,-104.8003
126605,729700,7297,80021-3465,0,1,1,2,39.9148,-105.1191
126614,137000,1370,80309-0017,0,1,1,3,40.0044,-105.2671
126669,940100,9401,80226,0,1,1,3,39.7117,-105.0948
126678,134700,1347,80903,0,1,1,3,38.8466,-104.8242
126687,887100,8871,80010-4314,0,1,2,1,39.7187,-104.8671
126702,2078900,20789,80203-2983,0,1,1,3,39.7356,-104.9858
126711,450600,4506,81601-0233,0,1,1,1,39.47,-107.2375
126748,135900,1359,81648-3598,0,1,1,2,40.0807,-108.7903
126775,134800,1348,80401,0,1,1,3,39.7508,-105.2271
126784,1157200,11572,80215-2996,0,1,1,2,39.741,-105.1039
126818,135000,1350,80523-0100,0,1,1,3,40.5748,-105.0808
126827,1014800,10148,80907-3812,0,1,7,3,38.8943,-104.8339
12682701,1014815,10148,81003,0,0,7,0,NULL,NULL
126854,966407,9664,80226,0,0,14,1,39.7228,-105.0821
126863,2276900,22769,80011-9036,0,1,1,2,39.7178,-104.8019
126872,2594300,25943,80222,0,1,5,2,39.6916,-104.9412
126915,2156200,21562,81416,0,1,1,1,38.7025,-108.0311
126924,2296004,22960,80031-2901,0,0,3,2,39.8599,-105.0651
126942,954200,9542,80204-2026,0,1,1,2,39.7414,-105.003
126951,793806,7938,80239,0,0,9,1,39.7081,-105.001
126979,135200,1352,80120,0,1,1,4,39.6006,-105.0224
127024,754800,7548,80221,0,1,4,3,39.8304,-104.9864
127060,137100,1371,80208,0,1,1,3,39.696,-104.9646
127158,559600,5596,80204-2197,0,1,1,1,39.741,-104.9953
127185,135300,1353,81301-3999,0,1,1,3,37.2754,-107.867
127200,793300,7933,80031,0,1,1,1,39.9018,-105.0394
127219,2267500,22675,81601,1,1,1,1,39.5619,-107.3591
127228,2518500,25185,80525,0,1,1,1,40.4972,-105.0765
127273,135400,1354,80210-4798,0,1,1,4,39.6775,-104.9606
127316,1285000,12850,80918-3684,0,1,1,1,38.9136,-104.7863
127389,135500,1355,81052-3999,0,1,1,2,38.0581,-102.6156
127556,135800,1358,81501-3122,0,1,1,3,39.0764,-108.5403
127565,136000,1360,80217-3362,0,1,1,3,39.7422,-105.0024
127617,998100,9981,80701,0,1,1,1,40.2588,-103.7718
127653,2117500,21175,80302-6697,0,1,1,3,40.0148,-105.2671
127680,405702,4057,80920,0,0,31,3,38.9527,-104.7908
127699,405703,4057,80222-3308,0,0,31,2,39.692,-104.9416
127714,1300700,13007,80910-3704,0,1,1,3,38.8141,-104.7511
127732,136100,1361,80751-2944,0,1,1,2,40.6369,-103.1975
127741,134900,1349,80639,0,1,1,3,40.4032,-104.7017
127778,136200,1362,81050,0,1,1,1,37.9712,-103.5448
127787,450700,4507,80229,0,1,2,1,39.8616,-104.9854
127820,889600,8896,80906-5498,0,1,1,2,38.7643,-104.7873
127839,863500,8635,80919,0,1,1,2,38.8658,-104.7562
127884,2116300,21163,81004-1499,0,1,1,1,38.2635,-104.6364
127909,954300,9543,80228-1255,0,1,1,1,39.7203,-105.1501
127918,136300,1363,80221-1099,0,1,1,3,39.7898,-105.0314
127945,764900,7649,80214,0,1,1,3,39.7433,-105.0699
127954,3306300,33063,80301,0,1,1,1,39.965,-105.2531
128106,136500,1365,81001-4901,0,1,1,3,38.3092,-104.5798
128151,1287500,12875,80011-9307,0,1,1,1,39.7235,-104.79
128179,2253700,22537,80909-6096,0,1,1,2,38.8322,-104.7872
128188,3066900,30669,81506,0,1,1,2,39.1163,-108.5306
128258,136800,1368,81082,0,1,1,1,37.1729,-104.5122
128337,757306,7573,80233,0,0,13,1,39.9149,-104.9435
128391,137200,1372,81231,0,1,1,3,38.5474,-106.9197
128498,137400,1374,06511-1189,0,1,1,3,41.3325,-72.9238
128540,887300,8873,6810,0,1,1,1,41.3876,-73.4421
128577,1115000,11150,6082,0,1,1,1,41.9984,-72.5702
128674,2074000,20740,06405-4103,0,1,6,1,41.2786,-72.8482
128683,940700,9407,06489-1057,0,1,2,2,41.6323,-72.9202
128726,618100,6181,6610,0,1,1,1,41.1894,-73.1652
128744,141600,1416,06604-5620,0,1,1,3,41.1656,-73.1894
128771,137800,1378,6050,0,1,1,3,41.6903,-72.7701
128780,3234300,32343,6053,0,1,1,3,41.6882,-72.768
128896,2316600,23166,06111-3975,0,1,3,1,41.6851,-72.7107
128902,137900,1379,06320-4196,0,1,1,3,41.3798,-72.1073
128957,1041700,10417,6108,0,1,1,1,41.7712,-72.6424
129002,730500,7305,6405,0,1,1,1,41.2773,-72.8549
129020,141700,1417,6269,0,1,4,3,41.8082,-72.2495
129154,2244900,22449,6118,0,1,1,2,41.7441,-72.6403
129181,730306,7303,6088,0,0,6,1,41.9242,-72.5969
129215,142500,1425,6226,0,1,1,3,41.7217,-72.2188
129242,138500,1385,06824-5195,0,1,1,3,41.1607,-73.2578
129349,2112700,21127,6473,0,1,1,1,41.3945,-72.8575
129367,763500,7635,6103,0,1,1,2,41.7684,-72.6727
129428,280301,2803,6120,0,0,2,4,41.7735,-72.6739
129482,2106600,21066,06110-1922,0,1,4,1,41.727,-72.7258
129491,138700,1387,06105-2260,0,1,1,4,41.7699,-72.7078
129525,142200,1422,06117-1599,0,1,1,3,41.7965,-72.715
129534,138900,1389,06416-2005,0,1,1,3,41.6068,-72.6479
129543,451300,4513,06604-4704,0,1,1,2,41.1752,-73.191
129613,1287700,12877,6032,0,1,1,2,41.7354,-72.7956
129686,3079400,30794,6371,0,1,1,3,41.3228,-72.3294
129695,139200,1392,6040,0,1,1,2,41.7605,-72.5626
129729,698200,6982,06708-3089,0,1,1,2,41.5496,-73.0712
129756,803800,8038,06457-4829,0,1,1,2,41.5395,-72.6118
129774,139300,1393,6320,0,1,1,3,41.3281,-72.0953
129808,976500,9765,6360,0,1,1,2,41.5099,-72.103
129923,730300,7303,6051,0,1,6,1,41.6592,-72.7545
129932,2202500,22025,6071,0,1,2,1,41.9784,-72.4517
129941,139700,1397,6516,0,1,1,3,41.2913,-72.9615
129969,2112300,21123,6320,0,1,3,1,41.3499,-72.1005
130004,139900,1399,6854,0,1,1,2,41.1026,-73.451
130040,139800,1398,6098,0,1,1,2,41.921,-73.0593
130110,745900,7459,06514-3902,0,1,1,3,41.3477,-72.935
130129,887400,8874,06450-4836,0,1,4,1,41.5244,-72.7632
13012901,887401,8874,6514,0,0,4,0,NULL,NULL
13012902,887402,8874,6825,0,0,4,0,NULL,NULL
13012903,887403,8874,6626,0,0,4,0,NULL,NULL
130174,1077900,10779,06615-7158,0,1,8,1,41.1696,-73.149
13017401,1077910,10779,60671400,0,0,8,0,NULL,NULL
13017402,1077903,10779,60821400,0,0,8,0,NULL,NULL
13017403,1077902,10779,67791400,0,0,8,0,NULL,NULL
13017404,1077905,10779,10221400,0,0,8,0,NULL,NULL
13017405,1077906,10779,15811400,0,0,8,0,NULL,NULL
13017406,1077914,10779,20212480,0,0,8,0,NULL,NULL
13017407,1077916,10779,18011041,0,0,8,0,NULL,NULL
130183,140100,1401,6723,0,1,1,3,41.5353,-73.0805
130217,1053000,10530,06239-1436,0,1,1,2,41.8262,-71.8897
130226,140200,1402,6518,0,1,1,3,41.4195,-72.8955
130253,140300,1403,06825-1000,0,1,1,3,41.2215,-73.2446
130314,140900,1409,6117,0,1,1,3,41.783,-72.7305
130396,803700,8037,6510,0,1,1,2,41.2885,-72.9259
130448,619100,6191,06606-4201,0,1,1,2,41.2012,-73.2011
130493,140600,1406,06515-1355,0,1,1,3,41.3319,-72.9488
130509,1242500,12425,6516,0,1,3,1,41.2686,-72.9774
130581,2546000,25460,10011,0,1,1,4,40.7399,-74.0021
130590,141400,1414,06106-3100,0,1,1,3,41.7467,-72.6887
130606,976400,9764,06032-3187,0,1,1,2,41.7055,-72.8775
130697,142400,1424,6459,0,1,1,3,41.5568,-72.6568
130776,138000,1380,06810-6826,0,1,1,3,41.4004,-73.4443
130785,2296100,22961,6510,0,1,1,0,41.3042,-72.9356
130794,142600,1426,6520,0,1,1,3,41.3102,-72.9289
130837,2125200,21252,19958,0,1,1,1,38.7713,-75.1424
130873,3025800,30258,19805-1511,0,1,1,1,39.7547,-75.5943
130891,705300,7053,19947,0,1,1,2,38.6973,-75.4075
130907,1172700,11727,19901,0,1,1,2,39.1984,-75.5601
130916,2144900,21449,19801,0,1,1,2,39.7403,-75.5522
130934,142800,1428,19901,0,1,1,3,39.1872,-75.5405
130943,143100,1431,19716,0,1,1,3,39.6798,-75.7536
130989,142900,1429,19808,0,1,1,3,39.7425,-75.694
131061,2190400,21904,19711,0,1,1,1,39.681,-75.7567
131098,143300,1433,19901-3875,0,1,1,3,39.1633,-75.5274
131113,794800,7948,19720,0,1,1,3,39.6823,-75.587
131159,143400,1434,20016-8001,0,1,1,3,38.9378,-77.0901
131283,143700,1437,20064,0,1,1,3,38.9358,-76.999
131308,1195000,11950,20006-4804,0,1,1,3,38.8958,-77.0398
131399,144100,1441,20008,0,1,2,3,38.9438,-77.0662
131405,1280300,12803,20017-1585,0,1,1,4,38.9314,-76.9988
131450,144300,1443,20002-3695,0,1,1,3,38.9074,-76.9937
131469,144400,1444,20052,0,1,1,3,38.8987,-77.0479
131496,144500,1445,20057-0001,0,1,1,3,38.9088,-77.0735
131520,144800,1448,20059-0001,0,1,1,3,38.9207,-77.0195
131742,2588900,25889,22042,0,1,1,1,38.8695,-77.148
131803,145900,1459,20005,0,1,99,3,38.9049,-77.0343
13180301,145904,1459,20012,0,0,99,0,NULL,NULL
131830,2132800,21328,20007,0,1,1,1,38.91,-77.0651
131876,146000,1460,20017-1094,0,1,1,3,38.9274,-77.0043
131973,146400,1464,20016-5690,0,1,1,4,38.9396,-77.09
132268,2346200,23462,32174,0,1,1,1,29.3494,-81.1331
132338,1019500,10195,33316-3000,0,1,1,2,26.1012,-80.1235
132374,1226300,12263,33063-3902,0,1,1,1,26.2436,-80.1853
132408,2159600,21596,32440,0,1,1,3,30.9564,-85.519
132471,146600,1466,33161-6695,0,1,2,3,25.8789,-80.1961
13247101,146601,1466,328073673,0,0,2,0,NULL,NULL
132523,1112700,11127,32405,0,1,1,4,30.2005,-85.6499
132602,146700,1467,32114-3099,0,1,1,3,29.2102,-81.0314
132657,150500,1505,33431-5598,0,1,1,3,26.3828,-80.1239
132666,2200100,22001,34210,0,1,1,1,27.4626,-82.6022
132675,3382300,33823,32091,0,1,1,1,29.9521,-82.1231
132693,147000,1470,32922,0,1,1,2,28.3848,-80.7581
132709,150000,1500,33301,0,1,1,2,26.0797,-80.2354
132806,2245500,22455,32789,0,1,4,1,28.5554,-81.4484
132842,1072401,10724,33172-2209,0,0,2,3,25.7952,-80.355
132851,147100,1471,34474,0,1,1,2,29.1661,-82.1757
132879,2156700,21567,34744,0,1,1,3,28.3019,-81.3625
132903,395400,3954,32816,0,1,1,3,28.6011,-81.1988
132976,2297000,22970,33948-3399,0,1,1,1,27.0056,-82.1472
133021,147200,1472,32446-2053,0,1,1,2,30.7906,-85.2319
133085,147300,1473,33759-4595,0,1,1,3,27.9636,-82.6973
133155,1323400,13234,34104-4405,0,1,1,1,26.1412,-81.7634
133386,147500,1475,32114,0,1,1,2,29.2023,-81.0513
133465,1303904,13039,33411,0,0,16,3,26.6917,-80.1997
133492,148700,1487,33711-4700,0,1,1,3,27.719,-82.686
133508,147700,1477,33919-0000,0,1,1,2,26.5547,-81.8874
133526,147800,1478,32209,0,1,1,3,30.3451,-81.6848
133553,147900,1479,32114-3900,0,1,2,3,29.1892,-81.0495
133650,148000,1480,32307,0,1,1,3,30.4286,-84.2857
133669,148100,1481,33431-0991,0,1,1,3,26.3725,-80.1023
133702,148400,1484,32202,0,1,1,2,30.3349,-81.6599
133711,789300,7893,32084,0,1,2,3,29.8934,-81.3153
133809,148200,1482,33617-5527,0,1,1,2,28.0349,-82.3834
133845,2089600,20896,32256-6905,0,1,2,1,30.3275,-81.5738
133854,2275100,22751,33025,0,1,1,1,26.1751,-80.203
133863,2172700,21727,33607-4127,0,1,1,1,27.9591,-82.5151
133872,3115500,31155,32803,0,1,1,3,28.5761,-81.3677
133881,146900,1469,32901-6975,0,1,1,3,28.0645,-80.6246
133942,2329900,23299,32514,0,1,1,1,30.5349,-87.2206
133951,963500,9635,33199,0,1,1,3,25.7571,-80.3776
133960,148500,1485,33040,0,1,1,2,24.5827,-81.7445
133979,148600,1486,33054-6199,0,1,1,3,25.9179,-80.2707
133997,2305800,23058,33174,0,1,1,1,25.7553,-80.3667
134024,4129900,41299,32608-5419,0,1,1,1,29.5935,-82.3385
134079,148800,1488,33801-5698,0,1,1,3,28.0315,-81.9458
134097,148900,1489,32306-1037,0,1,1,3,30.4397,-84.2909
134112,2218700,22187,32826,0,1,1,1,28.5737,-81.201
134121,2598200,25982,32225,0,1,2,2,30.3262,-81.55
13412101,2598203,25982,33134,0,0,2,0,NULL,NULL
134130,153500,1535,32611,0,1,1,3,29.6382,-82.3612
134149,814600,8146,33062,0,1,2,1,26.2341,-80.1036
134228,2338400,23384,34982-6333,0,1,1,1,27.4124,-80.3247
134237,2362100,23621,32792-7429,0,1,1,3,28.5965,-81.3013
134291,2307400,23074,32526-8922,0,1,1,1,30.4881,-87.2951
134307,3079800,30798,33142,0,1,1,1,25.8041,-80.2636
134343,149000,1490,32401,0,1,1,2,30.1861,-85.7272
134422,2325100,23251,33004-3046,0,1,1,2,26.0528,-80.1399
134495,787000,7870,33606-3584,0,1,1,2,27.9345,-82.4569
134510,2188900,21889,33455-1065,0,1,1,3,27.0665,-80.1324
134529,4162500,41625,33023,0,1,2,1,26.0076,-80.2076
134574,2279600,22796,33781,0,1,1,1,27.8397,-82.689
134608,149300,1493,34981-5596,0,1,1,2,27.4231,-80.3579
134680,3031400,30314,33634,0,1,8,3,27.9922,-82.5485
134714,2257900,22579,32119,0,1,1,1,29.1622,-80.9978
134811,887800,8878,33132-1418,0,1,1,3,25.79,-80.1884
134909,732910,7329,33634-7350,0,0,141,2,27.9824,-82.5476
134945,149500,1495,32211-3394,0,1,1,3,30.3503,-81.6071
135063,149700,1497,32211,0,1,1,2,30.328,-81.6101
135081,2151900,21519,33309,0,1,14,2,26.1859,-80.164
13508101,2151901,21519,32901,0,0,14,0,NULL,NULL
13508102,2151902,21519,32309,0,0,14,0,NULL,NULL
13508103,2151904,21519,32114,0,0,14,0,NULL,NULL
13508104,2151906,21519,33805,0,0,14,0,NULL,NULL
13508105,2151908,21519,33172,0,0,14,0,NULL,NULL
13508106,2151909,21519,32807,0,0,14,0,NULL,NULL
13508107,2151903,21519,34240,0,0,14,0,NULL,NULL
13508108,2151910,21519,32216,0,0,14,0,NULL,NULL
13508109,2151914,21519,33634,0,0,14,0,NULL,NULL
13508110,2151913,21519,33027,0,0,14,0,NULL,NULL
13508111,2151911,21519,34952,0,0,14,0,NULL,NULL
13508112,2151912,21519,33411,0,0,14,0,NULL,NULL
13508113,2151917,21519,33905,0,0,14,0,NULL,NULL
135124,2597100,25971,33912,0,1,1,2,26.5409,-81.8425
135142,2287100,22871,33012,0,1,1,1,25.8667,-80.313
135160,150100,1501,32025-2007,0,1,1,2,30.1743,-82.5697
135179,2228300,22283,32726,0,1,1,1,28.8334,-81.6909
135188,150200,1502,34788-8751,0,1,1,2,28.8302,-81.7977
135267,755800,7558,33916-2204,0,1,1,1,26.6486,-81.833
135276,558500,5585,32304-2895,0,1,1,1,30.4485,-84.3391
135294,558600,5586,33127,0,1,1,1,25.7947,-80.2082
135337,1016100,10161,33710,0,1,1,1,27.7813,-82.7112
135364,3100900,31009,30038-9869,0,1,1,3,33.698,-84.1236
135391,150400,1504,34207,0,1,1,2,27.4361,-82.5917
135407,561200,5612,34203,0,1,1,1,27.4436,-82.5934
135416,2148300,21483,33611,0,1,2,1,27.9025,-82.5184
13541601,2148301,21483,33612,0,0,2,0,NULL,NULL
135522,560800,5608,33803,0,1,1,1,27.9958,-81.8935
135610,177201,1772,33324,0,0,3,3,26.0997,-80.2572
135647,2316200,23162,33014,0,1,1,1,25.9161,-80.2951
135717,150600,1506,33132-2204,0,1,1,2,25.7777,-80.1909
135726,153600,1536,33146,0,1,1,3,25.7204,-80.2765
135735,2501500,25015,32809,0,1,1,1,28.4717,-81.416
135771,2283801,22838,33144-4700,0,0,5,1,25.7607,-80.3038
135939,3026508,30265,33619,0,0,19,1,27.9835,-82.386
135957,2121800,21218,33169-4538,0,1,1,1,25.943,-80.2035
136048,3113400,31134,33463-2113,1,1,1,1,26.6311,-80.1131
136066,1246117,12461,33407,0,0,14,1,26.7582,-80.0948
136109,2149900,21499,32246,0,1,3,1,30.2589,-81.5273
136145,150800,1508,32340,0,1,1,2,30.4739,-83.4219
136172,984100,9841,32224-7699,0,1,1,3,30.2709,-81.5079
136206,407215,4072,33409-2911,0,0,3,3,26.7147,-80.1041
136215,150900,1509,33314-7796,0,1,1,3,26.0793,-80.2425
136233,151000,1510,32578-1295,0,1,1,2,30.5371,-86.4755
136288,149900,1499,32810,0,1,3,1,28.6109,-81.3874
136303,2513200,25132,32801-1197,0,1,1,1,28.5504,-81.3838
136330,884900,8849,33401,0,1,1,3,26.7046,-80.0498
136358,151200,1512,33461-4796,0,1,1,2,26.6132,-80.0871
136400,1065200,10652,34654-5199,0,1,1,2,28.2751,-82.6467
136473,151300,1513,32504-8998,0,1,1,2,30.4808,-87.2006
136491,560500,5605,33760-2140,0,1,1,1,27.9119,-82.7191
136516,151400,1514,33881-4299,0,1,1,2,28.0308,-81.7129
136659,2554200,25542,32570-8188,0,1,1,1,30.6468,-87.1006
136701,822300,8223,33436-4899,0,1,1,4,26.5158,-80.1257
136765,2511700,25117,33881-9518,0,1,1,1,28.0766,-81.6545
136774,1257400,12574,34234-5895,0,1,1,3,27.3596,-82.5486
136783,910400,9104,32256,0,1,1,1,30.3112,-81.6929
136826,2524200,25242,33177,0,1,1,1,25.5991,-80.3904
136950,151500,1515,32789-4499,0,1,1,3,28.592,-81.3487
137023,1254400,12544,32084-1919,0,1,1,1,29.9244,-81.3458
137032,152600,1526,33574-6665,0,1,1,3,28.3368,-82.2573
137078,152800,1528,33760-2822,0,1,1,2,27.901,-82.7174
137087,2115300,21153,33711-2209,0,1,1,1,27.7612,-82.6815
137096,151900,1519,32606-6210,0,1,1,2,29.6807,-82.434
137120,560700,5607,34233-1798,0,1,1,1,27.2855,-82.5008
137148,2179918,21799,34235,0,0,28,3,27.3514,-82.4654
137209,152000,1520,32773-6199,0,1,1,1,28.7448,-81.3056
137245,990200,9902,33021,0,1,1,1,26.0317,-80.198
137272,807500,8075,33165-3244,0,1,1,3,25.7426,-80.3374
137281,152300,1523,32177,0,1,1,2,29.6472,-81.6811
137315,152200,1522,33825-9356,0,1,1,2,27.5696,-81.5084
137351,153700,1537,33620-9951,0,1,3,3,28.0566,-82.4159
137476,146800,1468,33054-6459,0,1,1,3,25.9209,-80.2563
137537,841700,8417,32207,0,1,1,1,30.2896,-81.6351
137546,153100,1531,32723,0,1,1,3,29.0363,-81.3016
137564,152100,1521,33801-6034,0,1,1,3,28.0319,-81.919
137591,3018500,30185,34652,0,1,1,1,28.2611,-82.7285
137713,752500,7525,32064,0,1,1,1,30.2821,-82.9926
137759,153300,1533,32304-2895,0,1,1,2,30.4452,-84.3415
137777,2508900,25089,33140-3854,0,1,1,3,25.7949,-80.1413
137801,153400,1534,33614,0,1,3,1,27.9966,-82.4976
137810,2599800,25998,33770-2556,0,1,3,1,27.9153,-82.7759
137847,153800,1538,33606-1490,0,1,1,3,27.9472,-82.4656
137856,3100800,31008,32348,1,1,1,1,30.078,-83.5658
137865,1082600,10826,32405,0,1,1,1,30.2034,-85.6466
137953,3101900,31019,32221,0,1,1,3,30.3238,-81.7057
137962,3028200,30282,34655-4401,0,1,1,3,28.1942,-82.6771
138132,2148200,21482,34231-4813,0,1,1,1,27.2589,-82.5174
138187,675000,6750,32801,0,1,1,2,28.5226,-81.4642
138275,884800,8848,33859-8797,0,1,1,3,27.8258,-81.6
138284,752600,7526,32428-1618,0,1,1,1,30.7745,-85.5533
138293,154000,1540,33827-0096,0,1,2,3,27.8388,-81.5323
138309,869410,8694,34474-6226,0,0,23,2,29.1408,-82.1984
13830901,869411,8694,346545559,0,0,23,0,NULL,NULL
13830902,869413,8694,339057805,0,0,23,0,NULL,NULL
13830903,869420,8694,336109558,0,0,23,0,NULL,NULL
13830904,869422,8694,346389558,0,0,23,0,NULL,NULL
138354,395500,3955,32514-5750,0,1,1,3,30.5429,-87.2181
138372,2321200,23212,34787-3733,0,1,1,1,28.5596,-81.5715
138479,3003600,30036,33317,0,1,1,1,26.085,-80.2322
138488,2504600,25046,32789,0,1,1,1,28.6044,-81.3617
138497,2300900,23009,34450-4696,0,1,1,1,28.8349,-82.3456
138558,154100,1541,31793-2601,0,1,1,2,31.4819,-83.5283
138600,154200,1542,30030-3797,0,1,1,3,33.77,-84.2956
138655,2284300,22843,30341,0,1,4,1,33.8895,-84.302
138664,2284308,22843,30260,0,0,4,1,33.5723,-84.3361
138682,560100,5601,31701,0,1,1,1,31.5543,-84.1743
138691,154300,1543,31707-3098,0,1,1,2,31.5836,-84.2121
138716,154400,1544,31705,0,1,1,3,31.5714,-84.1431
138761,154500,1545,39840-5550,0,1,1,2,31.7723,-84.795
138789,154600,1546,31419-1997,0,1,1,3,31.9781,-81.1604
138813,927000,9270,30328-1635,0,1,6,3,33.9374,-84.3549
138822,3005400,30054,30094,0,1,1,1,33.6415,-84.0131
138840,854300,8543,30310-4446,0,1,1,1,33.712,-84.405
138868,154700,1547,31833,0,1,1,3,33.6854,-84.4748
138901,1216500,12165,30310-4498,0,1,1,2,33.7089,-84.4047
138929,3173300,31733,30309,0,1,2,4,33.7934,-84.3878
138938,2580200,25802,30338,0,1,1,1,33.9278,-84.2984
138947,155900,1559,30314-4391,0,1,1,3,33.7488,-84.4128
138956,559900,5599,30906,0,1,1,1,33.419,-82.0484
