Number,Number1,Number2,Zip,Number3,Number4,Number5,Number6,Latitude,Longitude
11390801,2086401,20864,93955,0,0,5,0,NULL,NULL
11390802,2086402,20864,94401,0,0,5,0,NULL,NULL
11390803,2086403,20864,94541,0,0,5,0,NULL,NULL
11390804,2086404,20864,94546,0,0,5,0,NULL,NULL
113980,119700,1197,90506,0,1,2,2,33.8856,-118.3266
114044,2091200,20912,90028-6106,0,1,1,1,34.0622,-118.3383
114071,1265000,12650,91502,0,1,2,1,34.1819,-118.3097
11407101,1265001,12650,935504,0,0,2,0,NULL,NULL
114080,2221300,22213,92553,0,1,2,1,33.916,-117.2281
11408001,2221303,22213,949013224,0,0,2,0,NULL,NULL
114114,2609000,26090,90403,0,1,1,4,34.0303,-118.4847
114123,903200,9032,95403-2126,0,1,1,1,38.4678,-122.7286
114266,1245200,12452,95135-1598,0,1,1,2,37.3017,-121.7667
114354,1111200,11112,90015-1421,0,1,4,2,34.0442,-118.2599
114390,1111202,11112,94108-5805,0,0,4,2,37.7863,-122.4065
114415,1111203,11112,92614-5610,0,0,4,2,33.692,-117.8523
114433,859700,8597,95971-9124,0,1,1,2,39.9524,-120.9709
114460,725300,7253,95834,0,1,1,1,38.6488,-121.4978
114549,2096100,20961,93105-3538,0,1,1,4,34.4344,-119.7139
114585,3131300,31313,95062,0,1,2,4,36.9641,-121.9985
11458501,3131301,31313,951282541,0,0,2,0,NULL,NULL
114628,1298500,12985,92867,0,1,1,1,33.8058,-117.8367
114716,119900,1199,94022,0,1,1,2,37.3611,-122.1283
114734,1179200,11792,94709-1208,0,1,2,4,37.8771,-122.2609
11473401,1179201,11792,92057,0,0,2,0,NULL,NULL
114761,2230900,22309,95501,0,1,1,1,40.7988,-124.1658
114789,130700,1307,93741,0,1,1,2,36.7675,-119.7951
114813,125300,1253,93702-4709,0,1,1,3,36.7253,-119.732
114840,120000,1200,91182,0,1,1,4,34.1478,-118.1403
114859,120100,1201,92832-2095,0,1,1,2,33.8768,-117.917
114938,120200,1202,95020,0,1,1,2,36.9733,-121.5682
114947,2231900,22319,92008,0,1,2,1,33.1313,-117.3188
115001,120300,1203,91208-2894,0,1,1,2,34.1664,-118.2283
115010,2338500,23385,91203,0,1,2,1,34.1496,-118.2549
115083,120500,1205,94105-2968,0,1,4,3,37.7892,-122.3988
11508303,120518,1205,900175418,0,0,4,0,NULL,NULL
11508305,120522,1205,981012218,0,0,4,0,NULL,NULL
11508306,120504,1205,950542218,0,0,4,0,NULL,NULL
115126,120600,1206,92647-2710,0,1,1,1,33.7338,-118.003
115214,120700,1207,94709,0,1,1,4,37.8755,-122.2618
115296,120800,1208,92020-1799,0,1,1,2,32.8161,-117.0073
115357,2211000,22110,92405,0,1,1,1,34.136,-117.2876
115393,120900,1209,93901,0,1,1,2,36.6731,-121.6688
115409,117100,1171,91711,0,1,1,3,34.1061,-117.7106
115454,723411,7234,95670,0,0,12,2,38.5944,-121.2801
115472,723412,7234,93704,0,0,12,2,36.8224,-119.7955
115490,723405,7234,95035-8008,0,0,12,2,37.4109,-121.8939
115515,723400,7234,94103,0,1,12,2,37.7819,-122.4043
115533,723404,7234,94520-0522,0,0,12,2,38.0189,-122.03
115658,2285100,22851,94014,0,1,1,1,37.7055,-122.4617
115728,118300,1183,94619-1699,0,1,1,3,37.8027,-122.1872
115746,3126800,31268,93013,0,1,1,4,34.4205,-119.5803
115755,114900,1149,95521-8299,0,1,1,3,40.8741,-124.0814
115773,121200,1212,95207-3896,0,1,2,3,38.0111,-121.3164
11577301,121203,1212,953560532,0,0,2,0,NULL,NULL
115861,121400,1214,92251-0158,0,1,1,2,32.8276,-115.5039
115931,2128300,21283,95051-1303,0,1,3,1,37.3686,-121.9695
116226,2520300,25203,92660,0,1,1,1,33.6414,-117.8657
116350,2255400,22554,90401,0,1,3,1,34.0175,-118.4949
11635001,2255401,22554,92626,0,0,3,0,NULL,NULL
116439,2539500,25395,92618-0301,0,1,2,1,33.6751,-117.7786
11643901,2539501,25395,927820223,0,0,2,0,NULL,NULL
116466,732981,7329,91950,0,0,141,2,32.8071,-117.1197
116475,732985,7329,91773,0,0,141,2,34.1024,-117.8184
116484,732909,7329,92868,0,0,141,2,33.7812,-117.8963
116563,1202600,12026,92021,0,1,1,1,32.7948,-116.9457
116712,448400,4484,94523-4817,0,1,1,3,37.8818,-122.184
116846,274100,2741,90077-1519,0,1,1,3,34.1281,-118.4718
117052,130800,1308,93654,0,1,1,2,36.606,-119.4599
117104,2270600,22706,91773-3298,0,1,1,3,34.0894,-117.831
117113,2179947,21799,92108-4423,0,0,28,3,32.7783,-117.1554
117140,121600,1216,91750-4401,0,1,1,3,34.1009,-117.7726
117168,2330500,23305,92651,0,1,1,3,33.5614,-117.7726
117195,1290700,12907,96150,0,1,1,2,38.9269,-119.9716
117238,1301000,13010,93534,0,1,1,1,34.6956,-118.1487
117247,126600,1266,94607,0,1,1,2,37.7962,-122.2624
117274,121700,1217,96130,0,1,1,2,40.4313,-120.6312
117520,2228500,22285,94545-2800,0,1,1,4,37.6376,-122.1163
117557,697500,6975,94612-2801,0,1,1,2,37.8048,-122.2697
117575,3332300,33323,92019-1108,0,1,1,3,32.8033,-116.9005
117627,121500,1215,92515-8247,0,1,1,3,33.9088,-117.4971
117636,121800,1218,92350,0,1,1,3,34.0515,-117.2611
117645,121900,1219,90808-1706,0,1,1,1,33.8317,-118.1358
117672,122900,1229,90604,0,1,1,4,33.9246,-117.9854
117690,122400,1224,90744-2397,0,1,1,2,33.7842,-118.2819
117706,122600,1226,91371-0002,0,1,1,2,34.1842,-118.5772
117715,704700,7047,90047-4899,0,1,1,2,33.9296,-118.3047
117724,122700,1227,90015-4181,0,1,1,1,34.0326,-118.2691
117733,122800,1228,91401-4096,0,1,1,1,34.1764,-118.4214
117751,122000,1220,91321-1200,0,1,1,3,34.3821,-118.5174
117788,122300,1223,90029,0,1,1,2,34.0873,-118.2922
117803,616500,6165,90033-1084,0,1,1,2,34.0616,-118.2114
117867,1255000,12550,91342-3200,0,1,1,2,34.3149,-118.4191
117894,1034000,10340,94565,0,1,1,2,38.0056,-121.8611
117928,2179943,21799,94102-4908,0,0,28,3,37.804,-122.4172
117946,1164900,11649,90045-2659,0,1,1,3,33.9706,-118.4157
117955,1186600,11866,93001-2729,0,1,1,1,34.278,-119.294
118116,1231600,12316,93726,0,1,1,1,36.7929,-119.7912
118125,1231700,12317,93274,0,1,1,1,36.2041,-119.3679
118143,714200,7142,93710,0,1,1,1,36.8363,-119.7737
118161,1324000,13240,95403,0,1,1,1,38.5086,-122.7585
118189,2546400,25464,95207-4349,0,1,1,1,38.0073,-121.3085
118198,1291200,12912,95841-9817,0,1,1,1,38.6614,-121.3426
118259,2351900,23519,95821,0,1,2,1,38.6445,-121.3805
118277,2091700,20917,92123,0,1,2,1,32.8217,-117.133
118286,2549000,25490,92083-7736,0,1,2,1,33.1724,-117.2208
118347,117800,1178,94904-2590,0,1,1,2,37.955,-122.5499
118356,747600,7476,90023,0,1,14,1,34.0275,-118.2199
11835602,747609,7476,90602,0,0,14,0,NULL,NULL
11835603,747604,7476,91335,0,0,14,0,NULL,NULL
11835605,747608,7476,91764,0,0,14,0,NULL,NULL
