Date,Number,Latitude,Longitude
1/5/2009 5:33,1200,33.11917,-117.08556
1/2/2009 0:50,1200,40.6166667,29.0666667
1/13/2009 1:51,1200,-25.8744444,28.1705556
1/15/2009 10:24,1200,53.9666667,-1.0833333
1/11/2009 8:59,1200,39.04361,-77.48778
1/15/2009 15:56,1200,34.05222,-118.24278
1/1/2009 12:19,1200,47.25028,-122.2925
1/6/2009 14:03,1200,40.71417,-74.00639
1/22/2009 14:25,1200,54.5833333,-5.9333333
1/28/2009 5:36,3600,-20.3602778,57.3661111
1/1/2009 4:24,7500,42.94694,-76.42944
1/8/2009 11:55,1200,52.0833333,0.4333333
1/12/2009 21:30,1200,43.07306,-89.40111
